nr	nv	nt	capacity
15	2	1	100

node	x	y	a	b	load
p0	75	14	0	999	28
p1	49	98	0	999	91
p2	89	95	0	999	49
p3	81	9	0	999	44
p4	19	7	0	999	33
p5	82	3	0	999	95
p6	4	29	0	999	19
p7	17	13	0	999	51
p8	81	3	0	999	91
p9	67	5	0	999	37
p10	28	29	0	999	13
p11	69	9	0	999	12
p12	37	32	0	999	81
p13	94	25	0	999	50
p14	39	61	0	999	30
d0	88	58	0	999	-28
d1	0	85	0	999	-91
d2	75	15	0	999	-49
d3	34	92	0	999	-44
d4	75	70	0	999	-33
d5	93	22	0	999	-95
d6	17	89	0	999	-19
d7	66	15	0	999	-51
d8	2	40	0	999	-91
d9	78	7	0	999	-37
d10	13	15	0	999	-13
d11	20	12	0	999	-12
d12	44	37	0	999	-81
d13	2	78	0	999	-50
d14	58	83	0	999	-30
o0	84	12	0	999	0
o1	53	90	0	999	0
e0	1	88	0	999	0
e1	98	88	0	999	0
t0	10	62	0	999	0
