nr	nv	nt	capacity
15	2	1	100

node	x	y	a	b	load
p0	74	47	0	999	38
p1	91	71	0	999	4
p2	53	2	0	999	35
p3	60	61	0	999	35
p4	15	40	0	999	34
p5	63	46	0	999	88
p6	86	5	0	999	29
p7	37	61	0	999	62
p8	20	52	0	999	60
p9	86	26	0	999	40
p10	38	58	0	999	59
p11	3	57	0	999	57
p12	8	44	0	999	96
p13	41	23	0	999	41
p14	40	24	0	999	77
d0	50	88	0	999	-38
d1	35	21	0	999	-4
d2	45	66	0	999	-35
d3	35	6	0	999	-35
d4	84	99	0	999	-34
d5	99	95	0	999	-88
d6	70	76	0	999	-29
d7	63	46	0	999	-62
d8	30	94	0	999	-60
d9	32	87	0	999	-40
d10	9	9	0	999	-59
d11	92	80	0	999	-57
d12	19	44	0	999	-96
d13	85	94	0	999	-41
d14	72	46	0	999	-77
o0	19	59	0	999	0
o1	81	81	0	999	0
e0	77	13	0	999	0
e1	75	93	0	999	0
t0	73	20	0	999	0
