nr	nv	nt	capacity
25	2	1	100

node	x	y	a	b	load
p0	47	80	0	999	92
p1	46	49	0	999	91
p2	33	79	0	999	29
p3	27	10	0	999	18
p4	67	63	0	999	17
p5	21	41	0	999	97
p6	30	92	0	999	41
p7	53	46	0	999	37
p8	9	73	0	999	12
p9	31	88	0	999	39
p10	41	47	0	999	43
p11	32	63	0	999	12
p12	9	80	0	999	16
p13	45	79	0	999	87
p14	47	11	0	999	17
p15	97	34	0	999	18
p16	68	0	0	999	7
p17	82	62	0	999	4
p18	82	77	0	999	23
p19	43	57	0	999	11
p20	58	72	0	999	17
p21	87	61	0	999	5
p22	92	71	0	999	7
p23	15	81	0	999	22
p24	98	29	0	999	34
d0	66	2	0	999	-92
d1	22	46	0	999	-91
d2	16	94	0	999	-29
d3	80	83	0	999	-18
d4	54	67	0	999	-17
d5	62	71	0	999	-97
d6	40	65	0	999	-41
d7	86	12	0	999	-37
d8	75	41	0	999	-12
d9	43	46	0	999	-39
d10	13	9	0	999	-43
d11	67	75	0	999	-12
d12	51	79	0	999	-16
d13	66	98	0	999	-87
d14	43	6	0	999	-17
d15	29	22	0	999	-18
d16	36	3	0	999	-7
d17	96	41	0	999	-4
d18	52	42	0	999	-23
d19	23	53	0	999	-11
d20	34	82	0	999	-17
d21	88	15	0	999	-5
d22	67	59	0	999	-7
d23	3	64	0	999	-22
d24	38	75	0	999	-34
o0	32	72	0	999	0
o1	25	24	0	999	0
e0	52	71	0	999	0
e1	17	2	0	999	0
t0	85	43	0	999	0
