nr	nv	nt	capacity
25	2	1	100

node	x	y	a	b	load
p0	94	6	0	999	12
p1	66	99	0	999	79
p2	1	59	0	999	23
p3	35	36	0	999	56
p4	37	18	0	999	45
p5	33	44	0	999	16
p6	73	12	0	999	80
p7	84	8	0	999	17
p8	68	1	0	999	22
p9	41	93	0	999	94
p10	49	38	0	999	69
p11	1	38	0	999	73
p12	99	67	0	999	62
p13	89	36	0	999	75
p14	59	81	0	999	3
p15	9	49	0	999	53
p16	2	61	0	999	53
p17	70	6	0	999	57
p18	27	62	0	999	84
p19	68	10	0	999	71
p20	8	96	0	999	30
p21	45	42	0	999	12
p22	30	15	0	999	21
p23	83	32	0	999	25
p24	9	77	0	999	51
d0	94	61	0	999	-12
d1	85	31	0	999	-79
d2	60	2	0	999	-23
d3	78	70	0	999	-56
d4	87	68	0	999	-45
d5	89	27	0	999	-16
d6	80	96	0	999	-80
d7	39	20	0	999	-17
d8	93	14	0	999	-22
d9	54	79	0	999	-94
d10	21	41	0	999	-69
d11	26	84	0	999	-73
d12	50	81	0	999	-62
d13	29	7	0	999	-75
d14	72	23	0	999	-3
d15	31	58	0	999	-53
d16	41	94	0	999	-53
d17	61	65	0	999	-57
d18	60	8	0	999	-84
d19	67	99	0	999	-71
d20	93	99	0	999	-30
d21	94	58	0	999	-12
d22	2	70	0	999	-21
d23	1	34	0	999	-25
d24	30	10	0	999	-51
o0	3	9	0	999	0
o1	33	68	0	999	0
e0	56	45	0	999	0
e1	40	98	0	999	0
t0	81	94	0	999	0
