nr	nv	nt	capacity
25	2	1	100

node	x	y	a	b	load
p0	15	55	0	999	69
p1	27	22	0	999	82
p2	46	32	0	999	71
p3	73	26	0	999	87
p4	81	89	0	999	26
p5	94	30	0	999	48
p6	2	75	0	999	46
p7	81	42	0	999	1
p8	16	39	0	999	67
p9	98	6	0	999	88
p10	69	47	0	999	37
p11	29	19	0	999	87
p12	99	41	0	999	52
p13	15	22	0	999	39
p14	99	29	0	999	52
p15	79	65	0	999	62
p16	7	95	0	999	82
p17	35	43	0	999	44
p18	26	91	0	999	20
p19	47	68	0	999	86
p20	50	68	0	999	7
p21	43	34	0	999	81
p22	41	30	0	999	29
p23	45	75	0	999	90
p24	32	40	0	999	47
d0	4	2	0	999	-69
d1	12	71	0	999	-82
d2	41	78	0	999	-71
d3	10	0	0	999	-87
d4	91	15	0	999	-26
d5	50	57	0	999	-48
d6	98	46	0	999	-46
d7	64	80	0	999	-1
d8	43	40	0	999	-67
d9	20	62	0	999	-88
d10	17	59	0	999	-37
d11	6	95	0	999	-87
d12	34	26	0	999	-52
d13	86	48	0	999	-39
d14	0	83	0	999	-52
d15	19	86	0	999	-62
d16	19	3	0	999	-82
d17	11	79	0	999	-44
d18	42	88	0	999	-20
d19	76	43	0	999	-86
d20	36	7	0	999	-7
d21	12	55	0	999	-81
d22	62	48	0	999	-29
d23	65	49	0	999	-90
d24	16	28	0	999	-47
o0	97	92	0	999	0
o1	24	89	0	999	0
e0	64	56	0	999	0
e1	27	42	0	999	0
t0	90	39	0	999	0
