nr	nv	nt	capacity
20	3	3	100

node	x	y	a	b	load
p0	17	35	0	999	10
p1	59	25	0	999	45
p2	26	46	0	999	95
p3	64	29	0	999	95
p4	26	11	0	999	54
p5	27	55	0	999	12
p6	59	63	0	999	37
p7	63	98	0	999	84
p8	94	32	0	999	1
p9	8	43	0	999	9
p10	77	28	0	999	22
p11	78	82	0	999	24
p12	93	73	0	999	18
p13	61	18	0	999	45
p14	89	90	0	999	97
p15	37	63	0	999	57
p16	25	67	0	999	99
p17	9	95	0	999	85
p18	79	90	0	999	86
p19	39	41	0	999	18
d0	0	15	0	999	-10
d1	61	72	0	999	-45
d2	55	69	0	999	-95
d3	98	10	0	999	-95
d4	87	24	0	999	-54
d5	7	23	0	999	-12
d6	81	90	0	999	-37
d7	0	34	0	999	-84
d8	81	77	0	999	-1
d9	7	97	0	999	-9
d10	24	23	0	999	-22
d11	14	88	0	999	-24
d12	17	97	0	999	-18
d13	57	61	0	999	-45
d14	27	4	0	999	-97
d15	71	37	0	999	-57
d16	2	16	0	999	-99
d17	2	61	0	999	-85
d18	62	62	0	999	-86
d19	54	70	0	999	-18
o0	58	58	0	999	0
o1	84	35	0	999	0
o2	29	61	0	999	0
e0	57	5	0	999	0
e1	12	39	0	999	0
e2	47	15	0	999	0
t0	66	83	0	999	0
t1	44	29	0	999	0
t2	26	90	0	999	0
