nr	nv	nt	capacity
20	3	3	100

node	x	y	a	b	load
p0	68	81	0	999	6
p1	84	83	0	999	70
p2	41	16	0	999	48
p3	88	15	0	999	68
p4	96	56	0	999	81
p5	20	82	0	999	76
p6	0	29	0	999	41
p7	93	91	0	999	10
p8	82	9	0	999	53
p9	3	74	0	999	91
p10	96	83	0	999	26
p11	97	87	0	999	47
p12	93	28	0	999	10
p13	23	55	0	999	24
p14	4	12	0	999	1
p15	42	17	0	999	60
p16	54	75	0	999	74
p17	94	34	0	999	76
p18	82	0	0	999	18
p19	98	85	0	999	84
d0	86	76	0	999	-6
d1	99	80	0	999	-70
d2	73	33	0	999	-48
d3	70	21	0	999	-68
d4	10	61	0	999	-81
d5	16	50	0	999	-76
d6	75	49	0	999	-41
d7	68	89	0	999	-10
d8	46	73	0	999	-53
d9	55	59	0	999	-91
d10	78	22	0	999	-26
d11	28	19	0	999	-47
d12	15	7	0	999	-10
d13	53	4	0	999	-24
d14	69	25	0	999	-1
d15	30	53	0	999	-60
d16	98	52	0	999	-74
d17	45	61	0	999	-76
d18	71	9	0	999	-18
d19	22	34	0	999	-84
o0	8	31	0	999	0
o1	85	26	0	999	0
o2	78	88	0	999	0
e0	85	33	0	999	0
e1	33	59	0	999	0
e2	98	96	0	999	0
t0	48	47	0	999	0
t1	29	80	0	999	0
t2	5	24	0	999	0
