nr	nv	nt	capacity
15	2	2	100

node	x	y	a	b	load
p0	48	12	0	999	66
p1	45	74	0	999	53
p2	52	43	0	999	24
p3	77	70	0	999	21
p4	29	17	0	999	90
p5	73	59	0	999	88
p6	6	56	0	999	43
p7	31	29	0	999	64
p8	4	20	0	999	12
p9	48	73	0	999	31
p10	48	77	0	999	72
p11	62	7	0	999	91
p12	72	77	0	999	81
p13	66	57	0	999	1
p14	89	62	0	999	91
d0	57	28	0	999	-66
d1	2	67	0	999	-53
d2	28	85	0	999	-24
d3	1	50	0	999	-21
d4	50	86	0	999	-90
d5	72	15	0	999	-88
d6	71	81	0	999	-43
d7	13	19	0	999	-64
d8	42	7	0	999	-12
d9	57	8	0	999	-31
d10	42	57	0	999	-72
d11	76	50	0	999	-91
d12	43	44	0	999	-81
d13	24	96	0	999	-1
d14	11	18	0	999	-91
o0	19	90	0	999	0
o1	84	99	0	999	0
e0	74	57	0	999	0
e1	61	84	0	999	0
t0	8	66	0	999	0
t1	65	6	0	999	0
