nr	nv	nt	capacity
15	2	2	100

node	x	y	a	b	load
p0	11	70	0	999	29
p1	88	83	0	999	64
p2	78	46	0	999	83
p3	40	76	0	999	70
p4	60	44	0	999	59
p5	32	76	0	999	33
p6	33	96	0	999	45
p7	39	85	0	999	90
p8	50	29	0	999	13
p9	48	43	0	999	57
p10	9	36	0	999	72
p11	63	81	0	999	70
p12	34	47	0	999	72
p13	42	32	0	999	12
p14	71	17	0	999	24
d0	23	34	0	999	-29
d1	16	32	0	999	-64
d2	51	19	0	999	-83
d3	48	5	0	999	-70
d4	77	30	0	999	-59
d5	29	55	0	999	-33
d6	52	68	0	999	-45
d7	98	36	0	999	-90
d8	25	48	0	999	-13
d9	95	15	0	999	-57
d10	22	46	0	999	-72
d11	28	0	0	999	-70
d12	93	73	0	999	-72
d13	51	9	0	999	-12
d14	57	56	0	999	-24
o0	67	28	0	999	0
o1	2	80	0	999	0
e0	45	1	0	999	0
e1	49	6	0	999	0
t0	67	62	0	999	0
t1	68	68	0	999	0
