nr	nv	nt	capacity
30	3	3	100

node	x	y	a	b	load
p0	67	94	0	999	55
p1	47	90	0	999	82
p2	34	99	0	999	6
p3	65	83	0	999	3
p4	26	22	0	999	57
p5	45	12	0	999	13
p6	91	71	0	999	10
p7	92	24	0	999	82
p8	65	23	0	999	57
p9	1	39	0	999	2
p10	58	82	0	999	12
p11	41	55	0	999	9
p12	48	78	0	999	61
p13	31	55	0	999	39
p14	1	12	0	999	26
p15	21	80	0	999	11
p16	15	68	0	999	25
p17	30	4	0	999	4
p18	63	88	0	999	10
p19	0	71	0	999	50
p20	7	24	0	999	4
p21	61	68	0	999	58
p22	80	33	0	999	63
p23	15	27	0	999	76
p24	89	17	0	999	64
p25	81	32	0	999	48
p26	0	17	0	999	79
p27	90	48	0	999	35
p28	53	75	0	999	74
p29	0	60	0	999	36
d0	34	23	0	999	-55
d1	45	20	0	999	-82
d2	10	66	0	999	-6
d3	56	60	0	999	-3
d4	73	71	0	999	-57
d5	89	83	0	999	-13
d6	96	49	0	999	-10
d7	60	48	0	999	-82
d8	53	83	0	999	-57
d9	3	65	0	999	-2
d10	16	4	0	999	-12
d11	66	20	0	999	-9
d12	71	76	0	999	-61
d13	57	90	0	999	-39
d14	78	95	0	999	-26
d15	0	84	0	999	-11
d16	46	96	0	999	-25
d17	2	59	0	999	-4
d18	5	61	0	999	-10
d19	25	23	0	999	-50
d20	19	16	0	999	-4
d21	24	1	0	999	-58
d22	16	91	0	999	-63
d23	63	7	0	999	-76
d24	95	17	0	999	-64
d25	11	46	0	999	-48
d26	93	91	0	999	-79
d27	37	51	0	999	-35
d28	17	47	0	999	-74
d29	14	20	0	999	-36
o0	17	81	0	999	0
o1	61	29	0	999	0
o2	7	94	0	999	0
e0	68	49	0	999	0
e1	80	99	0	999	0
e2	61	60	0	999	0
t0	93	23	0	999	0
t1	93	47	0	999	0
t2	56	18	0	999	0
