nr	nv	nt	capacity
30	3	3	100

node	x	y	a	b	load
p0	34	30	0	999	94
p1	89	54	0	999	33
p2	22	60	0	999	32
p3	40	94	0	999	92
p4	7	10	0	999	57
p5	69	43	0	999	82
p6	48	83	0	999	76
p7	2	32	0	999	20
p8	11	50	0	999	76
p9	63	17	0	999	95
p10	46	4	0	999	99
p11	72	82	0	999	29
p12	9	48	0	999	76
p13	18	43	0	999	31
p14	81	27	0	999	55
p15	6	17	0	999	96
p16	40	91	0	999	69
p17	86	57	0	999	41
p18	82	89	0	999	48
p19	72	13	0	999	16
p20	56	17	0	999	45
p21	99	22	0	999	14
p22	54	44	0	999	64
p23	96	46	0	999	67
p24	67	63	0	999	35
p25	81	37	0	999	85
p26	87	93	0	999	30
p27	32	96	0	999	40
p28	13	50	0	999	90
p29	4	95	0	999	18
d0	20	87	0	999	-94
d1	19	26	0	999	-33
d2	15	62	0	999	-32
d3	29	60	0	999	-92
d4	85	71	0	999	-57
d5	60	37	0	999	-82
d6	96	45	0	999	-76
d7	83	39	0	999	-20
d8	14	6	0	999	-76
d9	17	33	0	999	-95
d10	21	11	0	999	-99
d11	49	64	0	999	-29
d12	52	0	0	999	-76
d13	44	46	0	999	-31
d14	10	96	0	999	-55
d15	57	13	0	999	-96
d16	65	58	0	999	-69
d17	47	93	0	999	-41
d18	43	14	0	999	-48
d19	5	15	0	999	-16
d20	66	68	0	999	-45
d21	97	44	0	999	-14
d22	54	55	0	999	-64
d23	11	3	0	999	-67
d24	67	45	0	999	-35
d25	38	71	0	999	-85
d26	37	14	0	999	-30
d27	16	18	0	999	-40
d28	16	55	0	999	-90
d29	35	79	0	999	-18
o0	3	65	0	999	0
o1	70	10	0	999	0
o2	45	74	0	999	0
e0	94	56	0	999	0
e1	95	54	0	999	0
e2	1	41	0	999	0
t0	77	64	0	999	0
t1	86	65	0	999	0
t2	85	98	0	999	0
