nr	nv	nt	capacity
12	2	2	100

node	x	y	a	b	load
p0	19	23	0	999	32
p1	7	28	0	999	55
p2	22	78	0	999	63
p3	48	17	0	999	48
p4	2	23	0	999	39
p5	74	36	0	999	74
p6	91	79	0	999	84
p7	7	54	0	999	7
p8	54	36	0	999	64
p9	36	36	0	999	13
p10	51	47	0	999	22
p11	43	60	0	999	73
d0	28	68	0	999	-32
d1	94	32	0	999	-55
d2	28	60	0	999	-63
d3	47	0	0	999	-48
d4	14	78	0	999	-39
d5	18	55	0	999	-74
d6	98	93	0	999	-84
d7	73	72	0	999	-7
d8	14	33	0	999	-64
d9	61	81	0	999	-13
d10	31	15	0	999	-22
d11	77	10	0	999	-73
o0	81	73	0	999	0
o1	45	40	0	999	0
e0	33	28	0	999	0
e1	71	46	0	999	0
t0	76	30	0	999	0
t1	69	53	0	999	0
