nr	nv	nt	capacity
12	2	2	100

node	x	y	a	b	load
p0	52	23	0	999	79
p1	81	26	0	999	17
p2	53	61	0	999	10
p3	83	90	0	999	97
p4	39	17	0	999	82
p5	3	10	0	999	11
p6	86	78	0	999	22
p7	59	41	0	999	64
p8	74	24	0	999	9
p9	80	9	0	999	33
p10	19	45	0	999	19
p11	59	82	0	999	32
d0	4	78	0	999	-79
d1	51	6	0	999	-17
d2	44	51	0	999	-10
d3	28	13	0	999	-97
d4	84	40	0	999	-82
d5	71	93	0	999	-11
d6	61	75	0	999	-22
d7	55	85	0	999	-64
d8	95	44	0	999	-9
d9	66	4	0	999	-33
d10	36	86	0	999	-19
d11	93	21	0	999	-32
o0	85	85	0	999	0
o1	27	15	0	999	0
e0	9	17	0	999	0
e1	87	42	0	999	0
t0	5	8	0	999	0
t1	32	1	0	999	0
