nr	nv	nt	capacity
12	3	3	100

node	x	y	a	b	load
p0	84	74	0	999	43
p1	3	62	0	999	22
p2	10	92	0	999	52
p3	2	33	0	999	20
p4	7	26	0	999	7
p5	62	79	0	999	52
p6	57	14	0	999	65
p7	77	86	0	999	91
p8	44	37	0	999	66
p9	64	20	0	999	66
p10	61	68	0	999	4
p11	28	53	0	999	59
d0	48	30	0	999	-43
d1	14	35	0	999	-22
d2	86	30	0	999	-52
d3	36	69	0	999	-20
d4	40	88	0	999	-7
d5	5	32	0	999	-52
d6	61	10	0	999	-65
d7	60	38	0	999	-91
d8	99	49	0	999	-66
d9	91	36	0	999	-66
d10	18	42	0	999	-4
d11	50	12	0	999	-59
o0	10	97	0	999	0
o1	32	14	0	999	0
o2	12	30	0	999	0
e0	94	76	0	999	0
e1	50	35	0	999	0
e2	73	72	0	999	0
t0	96	36	0	999	0
t1	24	3	0	999	0
t2	65	74	0	999	0
