nr	nv	nt	capacity
5	20	1	100

node	x	y	a	b	load
p0	82	39	0	999	54
p1	50	42	0	999	28
p2	44	58	0	999	12
p3	57	49	0	999	53
p4	86	11	0	999	45
d0	35	71	0	999	-54
d1	25	28	0	999	-28
d2	42	31	0	999	-12
d3	57	38	0	999	-53
d4	43	92	0	999	-45
o0	59	58	0	999	0
o1	55	74	0	999	0
o2	35	56	0	999	0
o3	57	10	0	999	0
o4	63	70	0	999	0
o5	4	45	0	999	0
o6	24	38	0	999	0
o7	88	69	0	999	0
o8	2	16	0	999	0
o9	38	74	0	999	0
o10	32	10	0	999	0
o11	4	80	0	999	0
o12	87	35	0	999	0
o13	99	85	0	999	0
o14	13	75	0	999	0
o15	82	39	0	999	0
o16	11	6	0	999	0
o17	56	29	0	999	0
o18	78	45	0	999	0
o19	65	76	0	999	0
e0	58	75	0	999	0
e1	66	64	0	999	0
e2	48	52	0	999	0
e3	77	54	0	999	0
e4	38	27	0	999	0
e5	57	12	0	999	0
e6	29	45	0	999	0
e7	85	60	0	999	0
e8	34	39	0	999	0
e9	33	61	0	999	0
e10	53	74	0	999	0
e11	10	7	0	999	0
e12	10	66	0	999	0
e13	70	18	0	999	0
e14	50	49	0	999	0
e15	64	23	0	999	0
e16	52	49	0	999	0
e17	1	14	0	999	0
e18	93	41	0	999	0
e19	12	0	0	999	0
t0	49	63	0	999	0
