nr	nv	nt	capacity
5	10	1	100

node	x	y	a	b	load
p0	76	60	0	999	73
p1	70	97	0	999	30
p2	73	9	0	999	3
p3	41	69	0	999	82
p4	32	64	0	999	78
d0	6	89	0	999	-73
d1	88	40	0	999	-30
d2	42	36	0	999	-3
d3	8	18	0	999	-82
d4	70	43	0	999	-78
o0	43	96	0	999	0
o1	80	44	0	999	0
o2	43	10	0	999	0
o3	43	62	0	999	0
o4	91	38	0	999	0
o5	58	25	0	999	0
o6	29	90	0	999	0
o7	41	45	0	999	0
o8	26	16	0	999	0
o9	87	96	0	999	0
e0	15	11	0	999	0
e1	53	57	0	999	0
e2	43	2	0	999	0
e3	4	58	0	999	0
e4	19	86	0	999	0
e5	68	48	0	999	0
e6	21	25	0	999	0
e7	21	34	0	999	0
e8	16	17	0	999	0
e9	56	74	0	999	0
t0	42	2	0	999	0
