nr	nv	nt	capacity
5	8	1	100

node	x	y	a	b	load
p0	23	96	0	999	17
p1	82	65	0	999	73
p2	26	11	0	999	68
p3	53	30	0	999	45
p4	33	16	0	999	54
d0	49	2	0	999	-17
d1	63	26	0	999	-73
d2	35	82	0	999	-68
d3	50	43	0	999	-45
d4	35	45	0	999	-54
o0	27	70	0	999	0
o1	37	22	0	999	0
o2	78	83	0	999	0
o3	95	41	0	999	0
o4	38	98	0	999	0
o5	10	89	0	999	0
o6	85	61	0	999	0
o7	99	24	0	999	0
e0	97	11	0	999	0
e1	83	97	0	999	0
e2	23	10	0	999	0
e3	69	29	0	999	0
e4	54	11	0	999	0
e5	79	27	0	999	0
e6	71	27	0	999	0
e7	26	68	0	999	0
t0	94	58	0	999	0
