nr	nv	nt	capacity
5	12	1	100

node	x	y	a	b	load
p0	74	78	0	999	5
p1	34	87	0	999	75
p2	80	91	0	999	3
p3	8	64	0	999	27
p4	43	85	0	999	91
d0	37	27	0	999	-5
d1	32	8	0	999	-75
d2	87	69	0	999	-3
d3	4	9	0	999	-27
d4	79	54	0	999	-91
o0	66	56	0	999	0
o1	2	15	0	999	0
o2	20	27	0	999	0
o3	98	59	0	999	0
o4	29	76	0	999	0
o5	30	83	0	999	0
o6	25	94	0	999	0
o7	13	33	0	999	0
o8	72	42	0	999	0
o9	1	33	0	999	0
o10	65	81	0	999	0
o11	70	44	0	999	0
e0	61	77	0	999	0
e1	64	73	0	999	0
e2	95	38	0	999	0
e3	9	55	0	999	0
e4	78	65	0	999	0
e5	44	65	0	999	0
e6	85	57	0	999	0
e7	61	19	0	999	0
e8	58	25	0	999	0
e9	68	39	0	999	0
e10	71	8	0	999	0
e11	87	79	0	999	0
t0	31	66	0	999	0
