nr	nv	nt	capacity
5	14	1	100

node	x	y	a	b	load
p0	54	8	0	999	50
p1	92	48	0	999	28
p2	15	30	0	999	92
p3	17	76	0	999	47
p4	65	55	0	999	16
d0	35	87	0	999	-50
d1	7	10	0	999	-28
d2	99	63	0	999	-92
d3	57	5	0	999	-47
d4	37	85	0	999	-16
o0	68	54	0	999	0
o1	14	72	0	999	0
o2	84	55	0	999	0
o3	97	64	0	999	0
o4	19	61	0	999	0
o5	71	49	0	999	0
o6	37	97	0	999	0
o7	25	89	0	999	0
o8	60	22	0	999	0
o9	1	1	0	999	0
o10	22	89	0	999	0
o11	30	58	0	999	0
o12	36	65	0	999	0
o13	6	36	0	999	0
e0	21	43	0	999	0
e1	89	48	0	999	0
e2	16	64	0	999	0
e3	78	26	0	999	0
e4	48	79	0	999	0
e5	32	13	0	999	0
e6	12	26	0	999	0
e7	72	30	0	999	0
e8	59	33	0	999	0
e9	70	39	0	999	0
e10	15	8	0	999	0
e11	15	0	0	999	0
e12	69	8	0	999	0
e13	50	82	0	999	0
t0	74	63	0	999	0
