nr	nv	nt	capacity
5	20	1	100

node	x	y	a	b	load
p0	16	94	0	999	65
p1	98	24	0	999	29
p2	45	36	0	999	67
p3	89	47	0	999	74
p4	2	92	0	999	47
d0	35	64	0	999	-65
d1	19	53	0	999	-29
d2	8	0	0	999	-67
d3	57	97	0	999	-74
d4	5	79	0	999	-47
o0	62	51	0	999	0
o1	58	47	0	999	0
o2	27	22	0	999	0
o3	49	25	0	999	0
o4	47	90	0	999	0
o5	95	69	0	999	0
o6	10	78	0	999	0
o7	72	72	0	999	0
o8	29	51	0	999	0
o9	61	61	0	999	0
o10	34	10	0	999	0
o11	15	7	0	999	0
o12	26	75	0	999	0
o13	41	0	0	999	0
o14	25	87	0	999	0
o15	76	35	0	999	0
o16	56	73	0	999	0
o17	30	82	0	999	0
o18	48	69	0	999	0
o19	22	35	0	999	0
e0	25	79	0	999	0
e1	82	6	0	999	0
e2	44	79	0	999	0
e3	3	30	0	999	0
e4	61	14	0	999	0
e5	76	33	0	999	0
e6	30	84	0	999	0
e7	21	76	0	999	0
e8	65	68	0	999	0
e9	45	0	0	999	0
e10	42	85	0	999	0
e11	11	46	0	999	0
e12	54	58	0	999	0
e13	12	69	0	999	0
e14	41	69	0	999	0
e15	87	4	0	999	0
e16	90	17	0	999	0
e17	18	46	0	999	0
e18	18	76	0	999	0
e19	85	83	0	999	0
t0	29	79	0	999	0
