nr	nv	nt	capacity
5	12	1	100

node	x	y	a	b	load
p0	40	17	0	999	61
p1	71	45	0	999	82
p2	4	12	0	999	25
p3	67	36	0	999	55
p4	4	48	0	999	32
d0	23	14	0	999	-61
d1	45	12	0	999	-82
d2	46	86	0	999	-25
d3	4	30	0	999	-55
d4	27	6	0	999	-32
o0	17	45	0	999	0
o1	85	18	0	999	0
o2	79	25	0	999	0
o3	79	18	0	999	0
o4	66	64	0	999	0
o5	87	7	0	999	0
o6	55	11	0	999	0
o7	14	96	0	999	0
o8	23	71	0	999	0
o9	34	26	0	999	0
o10	99	96	0	999	0
o11	30	60	0	999	0
e0	27	9	0	999	0
e1	99	11	0	999	0
e2	71	45	0	999	0
e3	39	93	0	999	0
e4	17	2	0	999	0
e5	29	96	0	999	0
e6	76	72	0	999	0
e7	68	46	0	999	0
e8	49	96	0	999	0
e9	49	93	0	999	0
e10	20	94	0	999	0
e11	36	58	0	999	0
t0	30	66	0	999	0
