nr	nv	nt	capacity
5	8	1	100

node	x	y	a	b	load
p0	48	35	0	999	3
p1	74	26	0	999	75
p2	99	61	0	999	17
p3	6	51	0	999	96
p4	44	59	0	999	14
d0	4	42	0	999	-3
d1	47	76	0	999	-75
d2	12	83	0	999	-17
d3	28	91	0	999	-96
d4	13	18	0	999	-14
o0	89	13	0	999	0
o1	22	80	0	999	0
o2	83	49	0	999	0
o3	86	52	0	999	0
o4	41	96	0	999	0
o5	70	98	0	999	0
o6	43	88	0	999	0
o7	49	60	0	999	0
e0	74	56	0	999	0
e1	99	7	0	999	0
e2	31	45	0	999	0
e3	16	11	0	999	0
e4	19	61	0	999	0
e5	9	29	0	999	0
e6	90	96	0	999	0
e7	77	23	0	999	0
t0	25	86	0	999	0
