nr	nv	nt	capacity
5	16	1	100

node	x	y	a	b	load
p0	41	95	0	999	45
p1	57	8	0	999	36
p2	55	35	0	999	55
p3	72	73	0	999	92
p4	31	17	0	999	70
d0	52	78	0	999	-45
d1	46	78	0	999	-36
d2	16	35	0	999	-55
d3	50	48	0	999	-92
d4	39	51	0	999	-70
o0	78	43	0	999	0
o1	13	62	0	999	0
o2	11	46	0	999	0
o3	3	65	0	999	0
o4	27	51	0	999	0
o5	15	84	0	999	0
o6	7	80	0	999	0
o7	38	89	0	999	0
o8	93	12	0	999	0
o9	55	23	0	999	0
o10	27	2	0	999	0
o11	95	5	0	999	0
o12	75	94	0	999	0
o13	56	37	0	999	0
o14	19	50	0	999	0
o15	84	88	0	999	0
e0	13	14	0	999	0
e1	28	35	0	999	0
e2	22	47	0	999	0
e3	96	15	0	999	0
e4	18	34	0	999	0
e5	69	27	0	999	0
e6	35	57	0	999	0
e7	57	60	0	999	0
e8	52	53	0	999	0
e9	38	95	0	999	0
e10	15	14	0	999	0
e11	21	47	0	999	0
e12	22	36	0	999	0
e13	22	95	0	999	0
e14	98	18	0	999	0
e15	27	93	0	999	0
t0	1	73	0	999	0
