nr	nv	nt	capacity
5	10	1	100

node	x	y	a	b	load
p0	63	20	0	999	84
p1	50	33	0	999	98
p2	6	80	0	999	29
p3	33	93	0	999	54
p4	54	74	0	999	15
d0	51	39	0	999	-84
d1	87	8	0	999	-98
d2	50	97	0	999	-29
d3	58	57	0	999	-54
d4	6	29	0	999	-15
o0	55	41	0	999	0
o1	60	65	0	999	0
o2	60	22	0	999	0
o3	2	23	0	999	0
o4	6	66	0	999	0
o5	61	16	0	999	0
o6	79	89	0	999	0
o7	31	97	0	999	0
o8	92	63	0	999	0
o9	38	0	0	999	0
e0	63	11	0	999	0
e1	9	55	0	999	0
e2	23	66	0	999	0
e3	61	64	0	999	0
e4	22	37	0	999	0
e5	87	51	0	999	0
e6	79	85	0	999	0
e7	24	8	0	999	0
e8	34	72	0	999	0
e9	88	65	0	999	0
t0	25	42	0	999	0
