nr	nv	nt	capacity
5	8	1	100

node	x	y	a	b	load
p0	11	2	0	999	21
p1	79	12	0	999	79
p2	44	78	0	999	36
p3	5	26	0	999	69
p4	31	8	0	999	50
d0	51	61	0	999	-21
d1	68	85	0	999	-79
d2	24	64	0	999	-36
d3	22	42	0	999	-69
d4	38	1	0	999	-50
o0	7	0	0	999	0
o1	27	15	0	999	0
o2	43	70	0	999	0
o3	55	16	0	999	0
o4	86	25	0	999	0
o5	3	83	0	999	0
o6	11	16	0	999	0
o7	14	44	0	999	0
e0	15	25	0	999	0
e1	3	42	0	999	0
e2	53	78	0	999	0
e3	71	36	0	999	0
e4	7	94	0	999	0
e5	58	55	0	999	0
e6	79	96	0	999	0
e7	16	52	0	999	0
t0	92	15	0	999	0
