nr	nv	nt	capacity
5	20	1	100

node	x	y	a	b	load
p0	93	85	0	999	18
p1	58	25	0	999	97
p2	91	22	0	999	6
p3	89	77	0	999	38
p4	67	11	0	999	40
d0	57	96	0	999	-18
d1	8	13	0	999	-97
d2	7	31	0	999	-6
d3	29	75	0	999	-38
d4	63	58	0	999	-40
o0	4	54	0	999	0
o1	98	93	0	999	0
o2	8	65	0	999	0
o3	78	11	0	999	0
o4	8	42	0	999	0
o5	98	71	0	999	0
o6	26	85	0	999	0
o7	43	54	0	999	0
o8	89	5	0	999	0
o9	2	86	0	999	0
o10	79	52	0	999	0
o11	50	4	0	999	0
o12	56	28	0	999	0
o13	24	8	0	999	0
o14	67	21	0	999	0
o15	61	41	0	999	0
o16	42	82	0	999	0
o17	99	86	0	999	0
o18	30	94	0	999	0
o19	84	46	0	999	0
e0	23	74	0	999	0
e1	84	49	0	999	0
e2	36	94	0	999	0
e3	73	28	0	999	0
e4	68	24	0	999	0
e5	48	41	0	999	0
e6	18	61	0	999	0
e7	59	44	0	999	0
e8	16	76	0	999	0
e9	65	83	0	999	0
e10	71	16	0	999	0
e11	7	15	0	999	0
e12	35	23	0	999	0
e13	20	45	0	999	0
e14	10	59	0	999	0
e15	40	94	0	999	0
e16	29	56	0	999	0
e17	9	7	0	999	0
e18	23	29	0	999	0
e19	62	0	0	999	0
t0	65	71	0	999	0
