nr	nv	nt	capacity
5	18	1	100

node	x	y	a	b	load
p0	93	31	0	999	85
p1	97	94	0	999	91
p2	80	37	0	999	60
p3	35	4	0	999	18
p4	23	40	0	999	89
d0	20	48	0	999	-85
d1	60	70	0	999	-91
d2	17	45	0	999	-60
d3	8	6	0	999	-18
d4	3	86	0	999	-89
o0	42	23	0	999	0
o1	49	86	0	999	0
o2	32	52	0	999	0
o3	79	73	0	999	0
o4	49	5	0	999	0
o5	86	19	0	999	0
o6	57	65	0	999	0
o7	67	30	0	999	0
o8	60	12	0	999	0
o9	92	93	0	999	0
o10	61	48	0	999	0
o11	19	9	0	999	0
o12	3	72	0	999	0
o13	64	96	0	999	0
o14	44	91	0	999	0
o15	87	29	0	999	0
o16	97	43	0	999	0
o17	89	22	0	999	0
e0	70	17	0	999	0
e1	97	30	0	999	0
e2	25	35	0	999	0
e3	25	11	0	999	0
e4	69	62	0	999	0
e5	74	6	0	999	0
e6	36	58	0	999	0
e7	95	62	0	999	0
e8	95	73	0	999	0
e9	84	24	0	999	0
e10	21	87	0	999	0
e11	44	4	0	999	0
e12	6	66	0	999	0
e13	11	81	0	999	0
e14	94	71	0	999	0
e15	74	43	0	999	0
e16	91	78	0	999	0
e17	67	96	0	999	0
t0	65	81	0	999	0
