nr	nv	nt	capacity
5	16	1	100

node	x	y	a	b	load
p0	79	44	0	999	10
p1	71	68	0	999	56
p2	9	38	0	999	39
p3	15	58	0	999	35
p4	55	85	0	999	6
d0	78	78	0	999	-10
d1	82	8	0	999	-56
d2	50	27	0	999	-39
d3	27	75	0	999	-35
d4	66	41	0	999	-6
o0	18	86	0	999	0
o1	14	47	0	999	0
o2	76	38	0	999	0
o3	70	98	0	999	0
o4	49	31	0	999	0
o5	16	1	0	999	0
o6	41	16	0	999	0
o7	50	23	0	999	0
o8	65	62	0	999	0
o9	71	71	0	999	0
o10	58	69	0	999	0
o11	72	51	0	999	0
o12	68	2	0	999	0
o13	16	37	0	999	0
o14	13	17	0	999	0
o15	7	95	0	999	0
e0	64	38	0	999	0
e1	69	94	0	999	0
e2	50	37	0	999	0
e3	76	33	0	999	0
e4	22	11	0	999	0
e5	85	39	0	999	0
e6	22	72	0	999	0
e7	52	88	0	999	0
e8	42	37	0	999	0
e9	1	72	0	999	0
e10	25	6	0	999	0
e11	23	89	0	999	0
e12	6	39	0	999	0
e13	71	93	0	999	0
e14	25	4	0	999	0
e15	2	35	0	999	0
t0	96	73	0	999	0
