nr	nv	nt	capacity
5	14	1	100

node	x	y	a	b	load
p0	9	76	0	999	45
p1	67	0	0	999	85
p2	19	68	0	999	49
p3	49	75	0	999	2
p4	94	94	0	999	32
d0	17	51	0	999	-45
d1	72	67	0	999	-85
d2	40	68	0	999	-49
d3	78	33	0	999	-2
d4	0	57	0	999	-32
o0	92	85	0	999	0
o1	97	76	0	999	0
o2	61	5	0	999	0
o3	43	50	0	999	0
o4	28	97	0	999	0
o5	50	2	0	999	0
o6	7	34	0	999	0
o7	34	86	0	999	0
o8	37	3	0	999	0
o9	6	46	0	999	0
o10	96	62	0	999	0
o11	61	40	0	999	0
o12	36	56	0	999	0
o13	4	77	0	999	0
e0	1	42	0	999	0
e1	75	70	0	999	0
e2	90	88	0	999	0
e3	29	6	0	999	0
e4	14	24	0	999	0
e5	96	7	0	999	0
e6	45	25	0	999	0
e7	85	53	0	999	0
e8	12	60	0	999	0
e9	96	51	0	999	0
e10	52	14	0	999	0
e11	65	60	0	999	0
e12	78	35	0	999	0
e13	68	26	0	999	0
t0	60	81	0	999	0
