nr	nv	nt	capacity
5	10	1	100

node	x	y	a	b	load
p0	23	13	0	999	4
p1	96	91	0	999	85
p2	41	70	0	999	88
p3	59	55	0	999	66
p4	76	1	0	999	22
d0	95	37	0	999	-4
d1	70	0	0	999	-85
d2	0	57	0	999	-88
d3	41	47	0	999	-66
d4	86	9	0	999	-22
o0	88	95	0	999	0
o1	32	74	0	999	0
o2	61	74	0	999	0
o3	35	44	0	999	0
o4	55	55	0	999	0
o5	14	41	0	999	0
o6	8	37	0	999	0
o7	1	3	0	999	0
o8	37	55	0	999	0
o9	27	6	0	999	0
e0	95	39	0	999	0
e1	94	34	0	999	0
e2	57	75	0	999	0
e3	52	36	0	999	0
e4	92	79	0	999	0
e5	44	68	0	999	0
e6	43	81	0	999	0
e7	37	46	0	999	0
e8	92	78	0	999	0
e9	67	69	0	999	0
t0	14	35	0	999	0
