nr	nv	nt	capacity
5	8	1	100

node	x	y	a	b	load
p0	53	0	0	999	83
p1	66	57	0	999	89
p2	31	77	0	999	98
p3	11	32	0	999	24
p4	9	74	0	999	51
d0	85	14	0	999	-83
d1	47	74	0	999	-89
d2	33	54	0	999	-98
d3	48	12	0	999	-24
d4	7	1	0	999	-51
o0	89	30	0	999	0
o1	38	50	0	999	0
o2	85	94	0	999	0
o3	13	63	0	999	0
o4	62	17	0	999	0
o5	53	76	0	999	0
o6	53	5	0	999	0
o7	32	55	0	999	0
e0	65	3	0	999	0
e1	64	51	0	999	0
e2	37	82	0	999	0
e3	89	38	0	999	0
e4	29	91	0	999	0
e5	44	93	0	999	0
e6	57	96	0	999	0
e7	41	31	0	999	0
t0	13	75	0	999	0
