nr	nv	nt	capacity
5	16	1	100

node	x	y	a	b	load
p0	48	30	0	999	46
p1	5	23	0	999	11
p2	11	42	0	999	68
p3	71	12	0	999	97
p4	14	86	0	999	49
d0	21	58	0	999	-46
d1	14	13	0	999	-11
d2	24	88	0	999	-68
d3	8	77	0	999	-97
d4	75	76	0	999	-49
o0	46	23	0	999	0
o1	8	58	0	999	0
o2	93	65	0	999	0
o3	33	73	0	999	0
o4	0	86	0	999	0
o5	48	43	0	999	0
o6	90	31	0	999	0
o7	21	23	0	999	0
o8	48	55	0	999	0
o9	27	48	0	999	0
o10	23	68	0	999	0
o11	45	35	0	999	0
o12	91	64	0	999	0
o13	64	99	0	999	0
o14	60	8	0	999	0
o15	11	56	0	999	0
e0	46	6	0	999	0
e1	9	14	0	999	0
e2	77	3	0	999	0
e3	19	33	0	999	0
e4	82	20	0	999	0
e5	90	7	0	999	0
e6	86	78	0	999	0
e7	70	81	0	999	0
e8	81	33	0	999	0
e9	90	54	0	999	0
e10	58	96	0	999	0
e11	81	86	0	999	0
e12	50	90	0	999	0
e13	92	68	0	999	0
e14	78	87	0	999	0
e15	43	88	0	999	0
t0	70	70	0	999	0
