nr	nv	nt	capacity
20	2	2	100

node	x	y	a	b	load
p0	65	63	0	999	31
p1	11	83	0	999	1
p2	33	33	0	999	79
p3	30	43	0	999	41
p4	47	62	0	999	66
p5	70	58	0	999	23
p6	40	75	0	999	99
p7	32	78	0	999	72
p8	10	73	0	999	35
p9	6	1	0	999	65
p10	65	60	0	999	62
p11	27	51	0	999	34
p12	6	46	0	999	19
p13	70	42	0	999	35
p14	65	3	0	999	45
p15	74	53	0	999	7
p16	67	32	0	999	61
p17	45	5	0	999	43
p18	59	6	0	999	72
p19	43	45	0	999	5
d0	6	72	0	999	-31
d1	34	33	0	999	-1
d2	39	20	0	999	-79
d3	91	48	0	999	-41
d4	32	50	0	999	-66
d5	84	73	0	999	-23
d6	86	11	0	999	-99
d7	94	0	0	999	-72
d8	61	37	0	999	-35
d9	80	17	0	999	-65
d10	7	11	0	999	-62
d11	45	19	0	999	-34
d12	35	34	0	999	-19
d13	5	69	0	999	-35
d14	10	67	0	999	-45
d15	35	44	0	999	-7
d16	34	95	0	999	-61
d17	76	1	0	999	-43
d18	53	45	0	999	-72
d19	27	22	0	999	-5
o0	39	2	0	999	0
o1	63	67	0	999	0
e0	29	15	0	999	0
e1	23	93	0	999	0
t0	41	99	0	999	0
t1	54	39	0	999	0
