nr	nv	nt	capacity
20	2	1	100

node	x	y	a	b	load
p0	86	69	0	999	34
p1	9	45	0	999	63
p2	0	45	0	999	14
p3	26	10	0	999	63
p4	55	33	0	999	77
p5	31	94	0	999	45
p6	4	43	0	999	70
p7	87	19	0	999	56
p8	6	65	0	999	95
p9	84	79	0	999	68
p10	47	94	0	999	80
p11	92	42	0	999	81
p12	32	50	0	999	61
p13	58	95	0	999	67
p14	15	84	0	999	98
p15	8	4	0	999	66
p16	51	10	0	999	71
p17	10	33	0	999	18
p18	81	6	0	999	36
p19	93	52	0	999	4
d0	17	49	0	999	-34
d1	44	74	0	999	-63
d2	63	84	0	999	-14
d3	29	73	0	999	-63
d4	4	70	0	999	-77
d5	82	75	0	999	-45
d6	33	35	0	999	-70
d7	26	89	0	999	-56
d8	74	4	0	999	-95
d9	73	59	0	999	-68
d10	76	34	0	999	-80
d11	97	64	0	999	-81
d12	40	48	0	999	-61
d13	88	24	0	999	-67
d14	99	11	0	999	-98
d15	85	19	0	999	-66
d16	4	33	0	999	-71
d17	95	68	0	999	-18
d18	25	95	0	999	-36
d19	27	25	0	999	-4
o0	55	46	0	999	0
o1	64	9	0	999	0
e0	61	23	0	999	0
e1	28	19	0	999	0
t0	89	2	0	999	0
