nr	nv	nt	capacity
20	2	1	100

node	x	y	a	b	load
p0	95	41	0	999	98
p1	81	64	0	999	62
p2	10	64	0	999	66
p3	64	4	0	999	79
p4	93	62	0	999	95
p5	69	21	0	999	92
p6	18	26	0	999	40
p7	25	50	0	999	92
p8	4	94	0	999	12
p9	94	85	0	999	82
p10	31	31	0	999	33
p11	47	60	0	999	90
p12	10	89	0	999	18
p13	47	33	0	999	8
p14	91	11	0	999	80
p15	10	72	0	999	44
p16	36	94	0	999	91
p17	21	69	0	999	85
p18	2	95	0	999	42
p19	43	15	0	999	28
d0	79	65	0	999	-98
d1	10	91	0	999	-62
d2	23	37	0	999	-66
d3	72	94	0	999	-79
d4	30	97	0	999	-95
d5	0	34	0	999	-92
d6	2	27	0	999	-40
d7	11	66	0	999	-92
d8	50	16	0	999	-12
d9	71	78	0	999	-82
d10	43	46	0	999	-33
d11	66	21	0	999	-90
d12	34	72	0	999	-18
d13	94	63	0	999	-8
d14	89	63	0	999	-80
d15	42	14	0	999	-44
d16	27	28	0	999	-91
d17	65	73	0	999	-85
d18	27	84	0	999	-42
d19	92	0	0	999	-28
o0	85	97	0	999	0
o1	2	59	0	999	0
e0	40	21	0	999	0
e1	64	34	0	999	0
t0	75	70	0	999	0
