nr	nv	nt	capacity
15	3	3	100

node	x	y	a	b	load
p0	68	81	0	999	1
p1	3	29	0	999	47
p2	17	97	0	999	16
p3	23	0	0	999	72
p4	36	37	0	999	19
p5	25	38	0	999	35
p6	60	42	0	999	50
p7	93	14	0	999	48
p8	62	82	0	999	70
p9	84	82	0	999	13
p10	56	2	0	999	60
p11	95	17	0	999	74
p12	85	20	0	999	1
p13	21	67	0	999	27
p14	11	53	0	999	63
d0	37	53	0	999	-1
d1	14	27	0	999	-47
d2	25	3	0	999	-16
d3	24	99	0	999	-72
d4	25	47	0	999	-19
d5	16	77	0	999	-35
d6	10	97	0	999	-50
d7	79	8	0	999	-48
d8	85	60	0	999	-70
d9	7	17	0	999	-13
d10	12	96	0	999	-60
d11	84	35	0	999	-74
d12	86	86	0	999	-1
d13	75	90	0	999	-27
d14	91	58	0	999	-63
o0	35	60	0	999	0
o1	35	26	0	999	0
o2	36	60	0	999	0
e0	72	92	0	999	0
e1	55	90	0	999	0
e2	51	26	0	999	0
t0	15	34	0	999	0
t1	56	33	0	999	0
t2	25	34	0	999	0
