nr	nv	nt	capacity
10	3	3	100

node	x	y	a	b	load
p0	85	76	0	999	5
p1	81	39	0	999	98
p2	87	54	0	999	77
p3	0	3	0	999	32
p4	23	23	0	999	6
p5	89	71	0	999	36
p6	77	48	0	999	38
p7	75	19	0	999	95
p8	99	71	0	999	36
p9	31	62	0	999	28
d0	65	63	0	999	-5
d1	81	38	0	999	-98
d2	48	88	0	999	-77
d3	30	35	0	999	-32
d4	85	4	0	999	-6
d5	21	69	0	999	-36
d6	13	1	0	999	-38
d7	97	3	0	999	-95
d8	41	37	0	999	-36
d9	95	42	0	999	-28
o0	94	53	0	999	0
o1	44	62	0	999	0
o2	72	1	0	999	0
e0	2	25	0	999	0
e1	68	95	0	999	0
e2	7	91	0	999	0
t0	29	76	0	999	0
t1	95	92	0	999	0
t2	52	93	0	999	0
