nr	nv	nt	capacity
10	3	3	100

node	x	y	a	b	load
p0	5	22	0	999	33
p1	36	29	0	999	58
p2	50	8	0	999	55
p3	36	89	0	999	66
p4	31	35	0	999	67
p5	84	62	0	999	15
p6	37	55	0	999	19
p7	84	18	0	999	84
p8	50	97	0	999	44
p9	29	83	0	999	4
d0	81	99	0	999	-33
d1	90	89	0	999	-58
d2	29	55	0	999	-55
d3	48	34	0	999	-66
d4	95	35	0	999	-67
d5	85	54	0	999	-15
d6	83	25	0	999	-19
d7	95	21	0	999	-84
d8	9	5	0	999	-44
d9	93	60	0	999	-4
o0	60	45	0	999	0
o1	74	93	0	999	0
o2	98	84	0	999	0
e0	98	90	0	999	0
e1	94	98	0	999	0
e2	74	84	0	999	0
t0	1	14	0	999	0
t1	22	75	0	999	0
t2	93	98	0	999	0
